"Site ID";Nom;Pays;Vendor;Technologie;"KPI Global (%)";Statut;"KPI Dégradant";"Valeur KPI Dégradant (%)";Date
AC449;BUYO;CI;Huawei;3G;31.19;critical;"RRC PS SR";3.87;2026-04-19
ET874;TAOBLY;CI;Huawei;3G;31.22;critical;"RRC PS SR";0.21;2026-04-19
ET874;TAOBLY;CI;Huawei;3G;31.22;critical;"RRC PS SR";0.21;2026-04-19
AC505;MONT_ZAALA;CI;Huawei;3G;31.26;critical;"RRC PS SR";4.59;2026-04-19
ET773;ZOGUINE_GANLEU;CI;Huawei;3G;31.27;critical;"Chute CS";0.00;2026-04-19
ET896;MAN_KPANGOUINE2;CI;Huawei;3G;31.31;critical;"RRC PS SR";0.99;2026-04-19
IM409;RURAL_KEITADOUGOU;CI;Huawei;3G;31.31;critical;"RRC PS SR";2.12;2026-04-19
ET896;MAN_KPANGOUINE2;CI;Huawei;3G;31.31;critical;"RRC PS SR";0.99;2026-04-19
AC837;BELLE_VILLE;CI;Huawei;3G;31.31;critical;"RRC PS SR";2.16;2026-04-19
ET167;DOMANGBEU;CI;Huawei;3G;31.33;critical;"RRC PS SR";2.54;2026-04-19
ET927;YOREDOULA;CI;Huawei;3G;31.36;critical;"RRC PS SR";1.02;2026-04-19
ET927;YOREDOULA;CI;Huawei;3G;31.36;critical;"RRC PS SR";1.02;2026-04-19
AC445;BLOLEQUIN;CI;Huawei;3G;31.44;critical;"RRC PS SR";1.30;2026-04-19
ET648;TEAPLEU;CI;Huawei;3G;31.48;critical;"RAB CS SR";0.00;2026-04-19
ET776;DAPEOUA;CI;Huawei;3G;31.48;critical;"RRC PS SR";0.57;2026-04-19
ET927;YOREDOULA;CI;Huawei;3G;31.50;critical;"RRC PS SR";0.68;2026-04-19
AC843;BLODY;CI;Huawei;3G;31.52;critical;"RRC PS SR";2.20;2026-04-19
AC843;BLODY;CI;Huawei;3G;31.52;critical;"RRC PS SR";2.20;2026-04-19
ET170;VAOU;CI;Huawei;3G;31.57;critical;"RRC PS SR";0.58;2026-04-19
AC851;NIAZAHON_V16;CI;Huawei;3G;31.57;critical;"RRC PS SR";0.96;2026-04-19
ET788;KEITENABLY;CI;Huawei;3G;31.57;critical;"RAB CS SR";0.00;2026-04-19
AC206;DUEKOUE;CI;Huawei;3G;31.58;critical;"RRC PS SR";3.05;2026-04-19
AC206;DUEKOUE;CI;Huawei;3G;31.58;critical;"RRC PS SR";3.05;2026-04-19
AC842;BLENIMEOUIN;CI;Huawei;3G;31.64;critical;"RRC PS SR";0.92;2026-04-19
AC851;NIAZAHON_V16;CI;Huawei;3G;31.65;critical;"RRC PS SR";0.66;2026-04-19
ET161;GLANGLEU;CI;Huawei;3G;31.66;critical;"RRC CS SR";2.86;2026-04-19
ET168;ZEAGLO;CI;Huawei;3G;31.68;critical;"RRC PS SR";1.94;2026-04-19
